club,league,club_current_bill_EUR,replaces_player,position_group,sold_wage_EUR,sold_efficiency,incoming_player,incoming_team,incoming_league,incoming_age,incoming_wage_EUR,incoming_efficiency,annual_saving_EUR,four_year_saving_EUR
Hoffenheim,Bundesliga,47560000,David Jurásek,Midfielders,1920000,0.7365,Marc Casado,Barcelona,La Liga,20,520000,-1.9344,1400000,5600000
Getafe,La Liga,27820000,Borja Mayoral,Forwards,4790000,1.5219,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,4650000,18600000
Getafe,La Liga,27820000,Juan Bernat,Midfielders,4380000,1.3127,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,4170000,16680000
Getafe,La Liga,27820000,Carles Pérez,Midfielders,2560000,0.9609,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2530000,10120000
Getafe,La Liga,27820000,Djené,Defenders,2200000,0.6661,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2000000,8000000
Mallorca,La Liga,25190000,Vedat Muriqi,Forwards,4580000,0.9703,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,4440000,17760000
Mallorca,La Liga,25190000,David López,Defenders,3750000,2.5532,César Tárrega,Valencia,La Liga,22,200000,-1.8577,3550000,14200000
Mallorca,La Liga,25190000,Sergi Darder,Midfielders,2250000,0.5704,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2040000,8160000
Mallorca,La Liga,25190000,Toni Lato,Defenders,1500000,0.8657,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1130000,4520000
Mallorca,La Liga,25190000,Manu Morlanes,Midfielders,1310000,0.8067,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1280000,5120000
Mallorca,La Liga,25190000,Roberto Navarro,Midfielders,720000,0.5815,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,660000,2640000
Tottenham Hotspur,Premier League,128327065,Archie Gray,Defenders,4620514,1.1187,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4420514,17682056
Tottenham Hotspur,Premier League,128327065,Destiny Udogie,Defenders,4620514,0.5145,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,4250514,17002056
Tottenham Hotspur,Premier League,128327065,Archie Gray,Midfielders,4620514,1.1467,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,4410514,17642056
Ipswich Town,Premier League,30803420,Axel Tuanzebe,Defenders,2464274,0.6547,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2264274,9057096
Ipswich Town,Premier League,30803420,Arijanet Muric,Goalkeepers,2156240,1.0046,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,1966240,7864960
Ipswich Town,Premier League,30803420,Ben Johnson,Midfielders,1848205,1.0105,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1638205,6552820
Ipswich Town,Premier League,30803420,Ben Johnson,Defenders,1848205,0.6548,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1478205,5912820
Ipswich Town,Premier League,30803420,George Hirst,Forwards,1694188,0.6581,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1554188,6216752
Ipswich Town,Premier League,30803420,Jacob Greaves,Defenders,1540171,0.5288,Iglesias,Getafe,La Liga,26,180000,-1.5674,1360171,5440684
Ipswich Town,Premier League,30803420,Jack Clarke,Midfielders,1540171,0.8597,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1510171,6040684
Ipswich Town,Premier League,30803420,Chiedozie Ogbene,Midfielders,1540171,0.5734,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1232137,4928548
Lens,Ligue 1,24150000,Angelo Fulgini,Midfielders,1820000,0.8439,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1610000,6440000
Lens,Ligue 1,24150000,Facundo Medina,Defenders,1640000,0.9933,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1440000,5760000
Lens,Ligue 1,24150000,Przemysław Frankowski,Midfielders,1550000,0.637,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1520000,6080000
Lens,Ligue 1,24150000,Przemysław Frankowski,Defenders,1550000,0.7731,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1180000,4720000
Lens,Ligue 1,24150000,Ruben Aguilar,Midfielders,1500000,0.5653,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1191966,4767864
Lens,Ligue 1,24150000,Ruben Aguilar,Defenders,1500000,0.8014,Iglesias,Getafe,La Liga,26,180000,-1.5674,1320000,5280000
Lens,Ligue 1,24150000,Malang Sarr,Defenders,1460000,1.1398,Arthur Chaves,Hoffenheim,Bundesliga,23,300000,-1.4603,1160000,4640000
Lens,Ligue 1,24150000,Anass Zaroury,Midfielders,1360000,1.0137,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,1051966,4207864
Lens,Ligue 1,24150000,Nampalys Mendy,Midfielders,1300000,0.5071,Marc Casado,Barcelona,La Liga,20,520000,-1.9344,780000,3120000
Lens,Ligue 1,24150000,Andy Diouf,Midfielders,900000,0.9955,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,840000,3360000
Lens,Ligue 1,24150000,David Costa,Midfielders,720000,0.5747,Niccolò Pisilli,Roma,Serie A,19,170000,-1.8242,550000,2200000
Lens,Ligue 1,24150000,Rémy Labeau Lascary,Midfielders,450000,0.5,Patrizio Masini,Genoa,Serie A,23,170000,-1.5735,280000,1120000
Leverkusen,Bundesliga,71770000,Exequiel Palacios,Midfielders,5000000,0.5605,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,4790000,19160000
Leverkusen,Bundesliga,71770000,Florian Wirtz,Midfielders,4500000,0.7089,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,4470000,17880000
Leverkusen,Bundesliga,71770000,Piero Hincapié,Defenders,3780000,0.7018,César Tárrega,Valencia,La Liga,22,200000,-1.8577,3580000,14320000
Roma,Serie A,79020000,Manu Koné,Midfielders,5190000,0.5513,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,4980000,19920000
Roma,Serie A,79020000,Enzo Le Fée,Midfielders,4260000,0.6374,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,4230000,16920000
Roma,Serie A,79020000,Matìas Soulé,Midfielders,3700000,0.6036,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,3391966,13567864
Lazio,Serie A,67190000,Elseid Hysaj,Defenders,5190000,0.5749,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4990000,19960000
Lazio,Serie A,67190000,Nuno Tavares,Defenders,3700000,0.6318,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,3330000,13320000
Lazio,Serie A,67190000,Nicolò Rovella,Midfielders,3700000,0.6162,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3490000,13960000
Stuttgart,Bundesliga,30560000,Alexander Nübel,Goalkeepers,3500000,0.7853,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,3310000,13240000
Stuttgart,Bundesliga,30560000,Chris Führich,Midfielders,2500000,0.7766,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2290000,9160000
Stuttgart,Bundesliga,30560000,Enzo Millot,Midfielders,1890000,0.9408,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1860000,7440000
Stuttgart,Bundesliga,30560000,Jamie Leweling,Midfielders,1800000,0.8133,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1491966,5967864
Stuttgart,Bundesliga,30560000,Ameen Al-Dakhil,Defenders,1320000,0.9282,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1120000,4480000
Stuttgart,Bundesliga,30560000,Fabian Rieder,Midfielders,1100000,0.6954,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,791966,3167864
Stuttgart,Bundesliga,30560000,Justin Diehl,Midfielders,470000,0.5143,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,410000,1640000
Celta Vigo,La Liga,29640000,Jonathan Bamba,Midfielders,4160000,0.9695,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3950000,15800000
Celta Vigo,La Liga,29640000,Marcos Alonso,Defenders,3120000,0.6615,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2920000,11680000
Celta Vigo,La Liga,29640000,Fran Beltrán,Midfielders,2000000,0.509,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1970000,7880000
Celta Vigo,La Liga,29640000,Ilaix Moriba,Midfielders,1620000,0.8423,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1311966,5247864
Celta Vigo,La Liga,29640000,Iván Villar,Goalkeepers,1040000,0.6449,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,850000,3400000
Lille,Ligue 1,33720000,André Gomes,Midfielders,5450000,1.211,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,5240000,20960000
Lille,Ligue 1,33720000,Thomas Meunier,Defenders,4540000,0.8759,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4340000,17360000
Lille,Ligue 1,33720000,Tiago Santos,Defenders,1000000,0.614,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,630000,2520000
Lille,Ligue 1,33720000,Ethan Mbappé,Midfielders,540000,0.9293,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,510000,2040000
Lille,Ligue 1,33720000,Ayyoub Bouaddi,Midfielders,270000,0.597,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,210000,840000
Wolfsburg,Bundesliga,49450000,Lovro Majer,Midfielders,4720000,0.5058,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,4510000,18040000
Wolfsburg,Bundesliga,49450000,Aster Vranckx,Midfielders,3780000,1.3771,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,3750000,15000000
Wolfsburg,Bundesliga,49450000,Sebastiaan Bornauw,Defenders,2820000,0.6646,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2620000,10480000
Leicester City,Premier League,68075566,Jamie Vardy,Forwards,8624959,0.5089,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,8484959,33939836
Leicester City,Premier League,68075566,Danny Ward,Goalkeepers,2464274,0.7053,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,2274274,9097096
Atalanta,Serie A,41290685,Éderson,Midfielders,6160685,1.1654,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,5950685,23802740
Atalanta,Serie A,41290685,Charles De Ketelaere,Midfielders,3210000,0.7309,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,3180000,12720000
Atalanta,Serie A,41290685,Lazar Samardzic,Midfielders,1920000,0.6703,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1611966,6447864
Monza,Serie A,25910000,Armando Izzo,Defenders,3150000,0.5468,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2950000,11800000
Monza,Serie A,25910000,Roberto Gagliardini,Midfielders,2780000,1.0707,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2570000,10280000
Monza,Serie A,25910000,Andrea Petagna,Forwards,2780000,0.6444,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2640000,10560000
Monza,Serie A,25910000,Stefano Sensi,Midfielders,1850000,0.6817,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1820000,7280000
Monza,Serie A,25910000,Stefano Turati,Goalkeepers,850000,0.5874,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,660000,2640000
Brest,Ligue 1,23450000,Romain Faivre,Midfielders,2180000,1.0578,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1970000,7880000
Brest,Ligue 1,23450000,Pierre Lees-Melou,Midfielders,2180000,0.8528,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2150000,8600000
Brest,Ligue 1,23450000,Edimilson Fernandes,Defenders,1980000,1.0285,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1780000,7120000
Brest,Ligue 1,23450000,Edimilson Fernandes,Midfielders,1980000,0.9589,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1671966,6687864
Brest,Ligue 1,23450000,Ibrahim Salah,Midfielders,1080000,1.0682,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,771966,3087864
Brest,Ligue 1,23450000,Soumaïla Coulibaly,Defenders,1040000,1.594,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,670000,2680000
Brest,Ligue 1,23450000,Kamory Doumbia,Midfielders,640000,0.6944,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,580000,2320000
Strasbourg,Ligue 1,18280000,Đorđe Petrović,Goalkeepers,1550000,0.7982,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,1360000,5440000
Strasbourg,Ligue 1,18280000,Sekou Mara,Forwards,1550000,0.9829,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1410000,5640000
Strasbourg,Ligue 1,18280000,Habib Diarra,Midfielders,1280000,0.8794,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1070000,4280000
Strasbourg,Ligue 1,18280000,Guela Doué,Defenders,900000,0.6726,César Tárrega,Valencia,La Liga,22,200000,-1.8577,700000,2800000
Strasbourg,Ligue 1,18280000,Félix Lemaréchal,Midfielders,900000,0.7643,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,870000,3480000
Strasbourg,Ligue 1,18280000,Andrey Santos,Midfielders,900000,0.5252,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,591966,2367864
Strasbourg,Ligue 1,18280000,Abakar Sylla,Defenders,900000,0.986,Iglesias,Getafe,La Liga,26,180000,-1.5674,720000,2880000
Strasbourg,Ligue 1,18280000,Mamadou Sarr,Defenders,820000,1.3085,Arthur Chaves,Hoffenheim,Bundesliga,23,300000,-1.4603,520000,2080000
Strasbourg,Ligue 1,18280000,Diego Moreira,Defenders,720000,0.9232,Juanlu Sánchez,Sevilla,La Liga,20,250000,-1.4482,470000,1880000
Strasbourg,Ligue 1,18280000,Caleb Wiley,Defenders,720000,1.27,Carlos Dominguez,Celta Vigo,La Liga,23,150000,-1.4424,570000,2280000
Strasbourg,Ligue 1,18280000,Diego Moreira,Midfielders,720000,0.575,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,660000,2640000
Strasbourg,Ligue 1,18280000,Caleb Wiley,Midfielders,720000,0.9454,Niccolò Pisilli,Roma,Serie A,19,170000,-1.8242,550000,2200000
Marseille,Ligue 1,48640000,Geoffrey Kondogbia,Defenders,5400000,0.6633,César Tárrega,Valencia,La Liga,22,200000,-1.8577,5200000,20800000
Marseille,Ligue 1,48640000,Leonardo Balerdi,Defenders,4000000,0.6552,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,3630000,14520000
Freiburg,Bundesliga,20300000,Matthias Ginter,Defenders,7550000,2.1187,César Tárrega,Valencia,La Liga,22,200000,-1.8577,7350000,29400000
Freiburg,Bundesliga,20300000,Merlin Röhl,Midfielders,950000,1.1028,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,740000,2960000
Freiburg,Bundesliga,20300000,Eren Dinkçi,Midfielders,750000,0.8363,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,720000,2880000
Gladbach,Bundesliga,40360000,Florian Neuhaus,Midfielders,4000000,0.6008,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3790000,15160000
Gladbach,Bundesliga,40360000,Jonas Omlin,Goalkeepers,3000000,1.0858,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,2810000,11240000
Gladbach,Bundesliga,40360000,Luca Netz,Defenders,2400000,0.9565,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2200000,8800000
Osasuna,La Liga,21510000,Bryan Zaragoza,Midfielders,6250000,2.5209,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,6040000,24160000
Osasuna,La Liga,21510000,Aimar Oroz,Midfielders,950000,0.5209,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,920000,3680000
Osasuna,La Liga,21510000,Aitor Fernández,Goalkeepers,840000,0.5663,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,650000,2600000
Osasuna,La Liga,21510000,Iker Muñoz,Midfielders,720000,0.8697,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,660000,2640000
Bochum,Bundesliga,22610000,Ivan Ordets,Defenders,1890000,0.5264,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1690000,6760000
Bochum,Bundesliga,22610000,Ibrahima Sissoko,Midfielders,1500000,0.6971,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1290000,5160000
Bochum,Bundesliga,22610000,Myron Boadu,Forwards,1410000,1.0499,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1270000,5080000
Bochum,Bundesliga,22610000,Dani de Wit,Midfielders,1320000,0.7325,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1290000,5160000
Bochum,Bundesliga,22610000,Erhan Mašović,Defenders,1200000,0.6039,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,830000,3320000
Bochum,Bundesliga,22610000,Erhan Mašović,Midfielders,1200000,0.8311,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,891966,3567864
Bochum,Bundesliga,22610000,Timo Horn,Goalkeepers,940000,0.5134,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,750000,3000000
Torino,Serie A,41040000,Duván Zapata,Forwards,5000000,0.6663,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,4860000,19440000
Torino,Serie A,41040000,Samuele Ricci,Midfielders,3330000,0.9556,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3120000,12480000
Como,Serie A,25520000,Luca Mazzitelli,Midfielders,2590000,0.6875,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2380000,9520000
Como,Serie A,25520000,Máximo Perrone,Midfielders,1850000,1.1868,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1820000,7280000
Como,Serie A,25520000,Alberto Dossena,Defenders,1850000,1.0153,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1650000,6600000
Como,Serie A,25520000,Emil Audero,Goalkeepers,1670000,0.7568,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,1480000,5920000
Como,Serie A,25520000,Yannik Engelhardt,Defenders,930000,0.7394,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,560000,2240000
Sevilla,La Liga,56280000,Loïc Bade,Defenders,4170000,0.5118,César Tárrega,Valencia,La Liga,22,200000,-1.8577,3970000,15880000
Sevilla,La Liga,56280000,Tanguy Nianzou,Defenders,4170000,1.1526,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,3800000,15200000
Alavés,La Liga,19440000,Joan Jordán,Midfielders,3600000,1.2152,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3390000,13560000
Alavés,La Liga,19440000,Toni Martínez,Forwards,1780000,0.8441,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1640000,6560000
Alavés,La Liga,19440000,Luka Romero,Midfielders,1670000,2.1993,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1640000,6560000
Alavés,La Liga,19440000,Manu Sánchez,Defenders,1000000,0.8911,César Tárrega,Valencia,La Liga,22,200000,-1.8577,800000,3200000
Alavés,La Liga,19440000,Hugo Novoa,Defenders,350000,0.5377,Tom Louchet,Nice,Ligue 1,21,120000,-1.2909,230000,920000
Everton,Premier League,76146064,Jordan Pickford,Goalkeepers,7700856,0.6229,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,7510856,30043424
Fulham,Premier League,83790340,Willian,Midfielders,5495083,0.7213,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,5285083,21140332
Fulham,Premier League,83790340,Joshua King,Midfielders,2180000,1.8885,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2150000,8600000
Fiorentina,Serie A,45020000,Fabiano Parisi,Defenders,2780000,0.7069,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2580000,10320000
Fiorentina,Serie A,45020000,Fabiano Parisi,Midfielders,2780000,0.6856,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2570000,10280000
Fiorentina,Serie A,45020000,Amir Richardson,Midfielders,2220000,0.6504,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2190000,8760000
Southampton,Premier League,57448383,Lesley Ugochukwu,Midfielders,2772308,0.9859,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2562308,10249232
Southampton,Premier League,57448383,Kamaldeen Sulemana,Forwards,2464274,0.6807,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2324274,9297096
Southampton,Premier League,57448383,Alex McCarthy,Goalkeepers,2464274,0.6231,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,2274274,9097096
Toulouse,Ligue 1,14410000,Joshua King,Forwards,2180000,1.2271,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2040000,8160000
Toulouse,Ligue 1,14410000,Miha Zajc,Midfielders,1820000,1.2529,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1610000,6440000
Toulouse,Ligue 1,14410000,Mark McKenzie,Defenders,1540000,0.9938,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1340000,5360000
Toulouse,Ligue 1,14410000,Djibril Sidibé,Defenders,1460000,0.6295,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1090000,4360000
Toulouse,Ligue 1,14410000,Charlie Cresswell,Defenders,720000,0.7537,Iglesias,Getafe,La Liga,26,180000,-1.5674,540000,2160000
Toulouse,Ligue 1,14410000,Guillaume Restes,Goalkeepers,640000,1.4554,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,450000,1800000
Leganés,La Liga,15190000,Valentin Rosier,Defenders,1780000,0.9392,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1580000,6320000
Leganés,La Liga,15190000,Renato Tapia,Defenders,1460000,0.6679,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1090000,4360000
Leganés,La Liga,15190000,Renato Tapia,Midfielders,1460000,0.8842,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1250000,5000000
Leganés,La Liga,15190000,Munir El Haddadi,Midfielders,1460000,0.9027,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1151966,4607864
Leganés,La Liga,15190000,Óscar Rodríguez Arnaiz,Midfielders,1040000,0.8185,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,731966,2927864
Leganés,La Liga,15190000,Roberto López,Midfielders,840000,1.0674,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,780000,3120000
Leganés,La Liga,15190000,Juan Soriano,Goalkeepers,620000,0.9373,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,430000,1720000
Espanyol,La Liga,17060000,Marash Kumbulla,Defenders,3750000,1.7198,César Tárrega,Valencia,La Liga,22,200000,-1.8577,3550000,14200000
Espanyol,La Liga,17060000,Alex Král,Midfielders,1980000,0.7772,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1770000,7080000
Espanyol,La Liga,17060000,Alejo Véliz,Forwards,1500000,1.6115,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1360000,5440000
Montpellier,Ligue 1,11970000,Wahbi Khazri,Forwards,3000000,1.6845,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2860000,11440000
Montpellier,Ligue 1,11970000,Benjamin Lecomte,Goalkeepers,1820000,1.0542,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,1630000,6520000
Montpellier,Ligue 1,11970000,Jordan Ferri,Midfielders,1440000,0.5459,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1230000,4920000
Montpellier,Ligue 1,11970000,Becir Omeragic,Defenders,550000,0.7208,César Tárrega,Valencia,La Liga,22,200000,-1.8577,350000,1400000
Auxerre,Ligue 1,16650000,Ki-Jana Hoever,Midfielders,2500000,2.2168,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2290000,9160000
Auxerre,Ligue 1,16650000,Ki-Jana Hoever,Defenders,2500000,2.0707,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2300000,9200000
Auxerre,Ligue 1,16650000,Sinaly Diomande,Defenders,820000,0.8399,Iglesias,Getafe,La Liga,26,180000,-1.5674,640000,2560000
Auxerre,Ligue 1,16650000,Clément Akpa,Defenders,640000,0.6832,Juanlu Sánchez,Sevilla,La Liga,20,250000,-1.4482,390000,1560000
Hellas Verona,Serie A,19450000,Suat Serdar,Midfielders,2050000,0.8307,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,1840000,7360000
Hellas Verona,Serie A,19450000,Amin Sarr,Forwards,1500000,1.2772,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,1360000,5440000
Hellas Verona,Serie A,19450000,Domagoj Bradarić,Defenders,1280000,0.6209,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1080000,4320000
Hellas Verona,Serie A,19450000,Domagoj Bradarić,Midfielders,1280000,0.7075,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1250000,5000000
Brentford,Premier League,39428381,Thiago,Forwards,3080342,1.4609,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2940342,11761368
Brentford,Premier League,39428381,Fabio Carvalho,Forwards,2464274,1.4104,Pau Victor,Barcelona,La Liga,22,380000,-2.0091,2084274,8337096
Rayo Vallecano,La Liga,19260000,James Rodríguez,Midfielders,4160000,1.8285,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3950000,15800000
Rayo Vallecano,La Liga,19260000,Florian Lejeune,Defenders,1250000,0.5053,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1050000,4200000
St Pauli,Bundesliga,12210000,Eric Smith,Defenders,960000,0.6802,César Tárrega,Valencia,La Liga,22,200000,-1.8577,760000,3040000
St Pauli,Bundesliga,12210000,Eric Smith,Midfielders,960000,0.636,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,750000,3000000
St Pauli,Bundesliga,12210000,Morgan Guilavogui,Forwards,850000,0.5951,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,710000,2840000
St Pauli,Bundesliga,12210000,Siebe Van Der Heyden,Midfielders,850000,1.1021,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,820000,3280000
St Pauli,Bundesliga,12210000,Manolis Saliakas,Midfielders,840000,0.6105,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,531966,2127864
St Pauli,Bundesliga,12210000,David Nemeth,Defenders,780000,1.1018,Iglesias,Getafe,La Liga,26,180000,-1.5674,600000,2400000
St Pauli,Bundesliga,12210000,Connor Metcalfe,Midfielders,570000,0.8001,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,510000,2040000
Villarreal,La Liga,42340000,Juan Bernat,Defenders,4380000,0.8224,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4180000,16720000
Villarreal,La Liga,42340000,Willy Kambwala,Defenders,1040000,0.6323,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,670000,2680000
Bologna,Serie A,29960000,Thijs Dallinga,Forwards,2960000,0.6476,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2820000,11280000
Bologna,Serie A,29960000,Juan Miranda,Defenders,2220000,0.7851,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2020000,8080000
Wolves,Premier League,62715768,Nélson Semedo,Defenders,4928548,0.6068,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4728548,18914192
Augsburg,Bundesliga,20600000,Steve Mounié,Midfielders,2640000,0.6963,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2430000,9720000
Augsburg,Bundesliga,20600000,Kristijan Jakić,Midfielders,2260000,0.5502,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2230000,8920000
